"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"cluster",1,45,2.11111111111111,0.934739200920435,2,2.13513513513514,1.4826,1,3,2,-0.21431460926461,-1.84594627037074,0.139342692966128
"fa_aaua",2,45,185.198888888889,110.729960370883,152.82,170.273783783784,80.238312,33.8,563.1,529.3,1.33402305471048,1.5244814973697,16.5066479023435
"op_ha",3,45,-9.24535099319821,408.174947846134,85.563681523389,40.4742622185521,299.47600946282,-2134.26035502959,450.553043759083,2584.81339878867,-3.09334838763982,13.627319461756,60.8471286730925
"vc_ha",4,45,460.682326525826,174.140873982642,432.434186801298,441.101069687186,136.245239123453,174.676434676435,1007.3513639543,832.674929277867,1.15395390474365,1.17804265271886,25.9593887924274
"gm_ha",5,45,904.774151336763,247.782968372489,862.352512745812,882.826488382116,178.345465598719,481.330891330891,1557.74859287054,1076.41770153965,0.88574630442769,0.474986374397953,36.9373040631711
"nm_ha",6,45,-138.320151448107,332.668427903279,-52.2415630550622,-93.7447683393131,221.004752158986,-1729.26035502959,295.022606168254,2024.28296119784,-2.54874683409046,9.42242903397311,49.591281250648
"fbi_ha",7,45,219.745730936105,329.975910809003,297.399912967798,215.178523818116,289.754067997435,-567.100591715976,1265.75255908,1832.85315079597,0.303328641045185,0.965130763604719,49.1899045004225
"slr_ha",8,45,0.0103568327974222,0.00403854662814909,0.00880971077084151,0.00964147205185027,0.00263307302212084,0.00589576174112257,0.0245586854460094,0.0186629237048868,1.99463121125555,3.95595606967959,0.000602030986056263
"sck_glu",9,19,0.12485314641418,0.252022068747616,0,0.0974286867173368,0,0,0.715922107674685,0.715922107674685,1.40500618860744,0.124603796532541,0.0578178278533115
"sd_glu",10,45,0.113892609861452,0.176062659465267,0,0.0810555526760407,0,0,0.689776951672862,0.689776951672862,1.61741871507874,2.1287168014648,0.0262458716575822
"sd_dc",11,45,0,0,0,0,0,0,0,0,NA,NA,0
"lspec",12,45,0.154833245824513,0.237838765299254,0,0.113808321096226,0,0,0.837834650312537,0.837834650312537,1.28697183632487,0.4101039220255,0.0354549097929167
"feed_lu",13,20,Inf,NA,394.681118658369,507.731876391854,406.405109629235,0,Inf,Inf,NA,NA,NA
"homefeed_per",14,19,0.353083866713233,0.330474738374626,0.294695481335953,0.33579961573832,0.436915520628684,0,1,1,0.454901872235365,-1.25075569209753,0.0758161046298968
"cspec",15,45,0.845166754175487,0.237838765299254,1,0.886191678903774,0,0.162165349687463,1,0.837834650312537,-1.28697183632487,0.410103922025502,0.0354549097929167
"ifert_ha",16,45,170.510641807692,54.7138385256197,174.132703777336,173.903122730072,52.8968442621704,36.6272189349112,252.387755102041,215.76053616713,-0.496845722898961,-0.35643544588068,8.15625748354884
"arable_ha",17,45,0.790640241638662,0.133906900168427,0.817843866171004,0.802107433221535,0.144058421589423,0.426855737230502,0.968591691995947,0.541735954765445,-0.721444453921244,-0.425130384432277,0.0199616620955254
"fodder_ha",18,45,0.0540473155853825,0.0430707198319713,0.0480211081794195,0.0469326839306097,0.0189949180206818,0,0.190197873389198,0.190197873389198,1.78310217948271,2.96808917097512,0.00642060382560908
"grass_ha",19,45,0.146141849445914,0.129838179736532,0.121429331819311,0.135695464565942,0.134439414540143,0,0.571624945738678,0.571624945738678,0.891546015034112,0.448806092366109,0.0193551330643814
"rough_grazing_ha",20,44,0.0316438569719357,0.0943924306971826,0,0.0070992239386954,0,0,0.494505494505494,0.494505494505494,3.63467095749862,12.8746822576653,0.0142301943487354
"wood_aua_p",21,45,0.0175318947024234,0.028735190162581,0,0.0118570906872748,0,0,0.107692307692308,0.107692307692308,1.6215221998386,1.77831001262857,0.00428358923666096
"fwood_aua_p",22,45,0.000910553972271088,0.00454871658622874,0,0,0,0,0.0301274623406721,0.0301274623406721,5.8969715740919,34.8356540966981,0.000678082633145883
"nue",23,44,0.862013636363636,0.356362409334191,0.805,0.818458333333333,0.19296039,0.0382,2.2018,2.1636,1.54771034127437,4.14346728607905,0.0537236545976616
"farm_n_surplus",24,44,29.9061363636364,48.456878611041,27.96,30.4102777777778,44.433522,-106.26,190.98,297.24,0.189745989017768,2.18425618504859,7.30514931202822
"dsecxx613*",25,45,11.1333333333333,21.7679915138135,1,5.7027027027027,0,1,76,75,2.00796378262298,2.6430986178959,3.2449805839017
"dseczz612*",26,45,2.62222222222222,5.01039323846346,1,1.24324324324324,0,1,24,23,3.17293367358639,9.11536739174127,0.746905325013975
"outputinputlesssubsratio",27,45,1.01230666666667,0.235826761011321,1.02692,1.01297540540541,0.262034724,0.43792,1.48319,1.04527,-0.0946772798134332,-0.557045996279856,0.0351549779023274
"fo_kg_ha",28,45,6397.59851176187,2311.71016601781,6156.03246753247,6474.86143528197,1726.30807126191,71.5976331360947,11434.0206185567,11362.4229854206,-0.32073289437312,0.444114959890201,344.609405032877
"netem_ha",29,45,2850.16755818637,1289.06672097226,2788.70919136113,2792.1452376552,1350.08871510317,575.218390804598,5871.10435663627,5295.88596583167,0.404212699083971,-0.368645480746061,192.162721041782
"ghg_ha",30,45,3054.28892215753,1165.10693910943,3056.81203377326,2973.28721366592,1294.7236075109,919.563015482564,5871.09422492401,4951.53120944145,0.54142301682544,-0.119177118551798,173.683887793693
"tde_ha",31,45,485.685490686027,119.073382484584,464.179588892896,478.470813337923,122.014769109263,296.064245405875,872.370820668693,576.306575262818,0.801487522246225,0.862868599979052,17.7504118364241
"tie_ha",32,45,1329.28965926082,577.312657757342,1348.30287206266,1317.25234111635,639.311087568228,149.86977282593,2547.84098857543,2397.9712157495,0.160662258712483,-0.686389234890371,86.0606898010991
"tch4_ha",33,45,255.096114226271,416.186869018441,0,176.34732731565,0,0,1537.9715744446,1537.9715744446,1.47402812562457,0.977777755224063,62.0414753645356
"tn20_ha",34,45,984.217657984417,340.24805264042,999.308549581062,989.082777972001,450.809979737588,155.549124583997,1747.67765972126,1592.12853513727,-0.0972673020019673,-0.538426853916105,50.7211849943938
